Price,Brand,Model,Year,Condition,Transmission,Fuel,Capacity,Mileage
"Rs 12,990,000",Toyota,CHR,2018,Used,Automatic,Petrol,"1,200 cc","51,815 km"
"Rs 7,800,000",Honda,Fit,2015,Used,Automatic,Hybrid,"1,500 cc","84,000 km"
"Rs 4,575,000",Suzuki,Wagon R FZ,2015,Used,Automatic,Hybrid,650 cc,"58,000 km"
"Rs 3,025,000",Mazda,Familia,2000,Used,Manual,Petrol,"1,490 cc","249,548 km"
"Rs 8,250,000",Toyota,Vitz,2019,Used,Automatic,Petrol,"1,000 cc","44,500 km"
"Rs 7,775,000",Toyota,Vitz,2018,Used,Automatic,Petrol,"1,000 cc","39,000 km"
"Rs 4,590,000",Suzuki,Wagon R FX,2015,Used,Automatic,Hybrid,651 cc,"71,923 km"
"Rs 7,425,000",Honda,Vezel,2014,Used,Automatic,Hybrid,"1,500 cc","80,000 km"
"Rs 4,490,000",Suzuki,Wagon R FZ,2014,Used,Automatic,Hybrid,661 cc,"61,325 km"
"Rs 3,575,000",Toyota,Other Model,1998,Used,Automatic,Petrol,"1,500 cc","144,000 km"
"Rs 7,950,000",Toyota,Vitz,2017,Used,Automatic,Petrol,"1,000 cc","43,000 km"
"Rs 13,000,000",Toyota,Prius,2016,Used,Automatic,Petrol,"1,800 cc","3,000 km"
"Rs 8,475,000",Toyota,Vitz,2019,Used,Automatic,Petrol,"1,000 cc","29,000 km"
"Rs 4,975,000",Audi,A6,2000,Used,Manual,Petrol,"1,800 cc","196,000 km"
"Rs 4,670,000",Suzuki,Wagon R Stingray,2015,Used,Automatic,Hybrid,660 cc,"79,600 km"
"Rs 17,400,000",BMW,316i,2015,Used,Tiptronic,Petrol,"1,598 cc","88,000 km"
"Rs 42,500,000",Jeep,Wrangler,2016,Used,Automatic,Diesel,"2,800 cc","10,000 km"
"Rs 9,650,000",Toyota,Premio,2012,Used,Automatic,Petrol,"1,500 cc","98,000 km"
"Rs 8,250,000",Toyota,Allion,2007,Used,Automatic,Petrol,"1,500 cc","132,000 km"
"Rs 17,100,000",Toyota,Premio,2019,Used,Automatic,Petrol,"1,500 cc","17,900 km"
"Rs 4,700,000",Nissan,Tiida,2008,Used,Automatic,Petrol,"1,500 cc","162,000 km"
"Rs 25,250,000",Toyota,Hilux,2020,Used,Automatic,Diesel,"2,800 cc","69,000 km"
"Rs 5,800,000",Suzuki,Wagon R Stingray,2016,Used,Automatic,Hybrid,661 cc,"26,000 km"
"Rs 31,000,000",BMW,X5 eDrive,2016,Used,Tiptronic,Petrol,"2,000 cc","39,694 km"
"Rs 12,400,000",Toyota,CHR,2018,Used,Automatic,Petrol,"1,200 cc","49,500 km"
"Rs 26,000,000",Audi,A5,2018,Used,Automatic,Petrol,"1,400 cc","80,000 km"
"Rs 5,295,000",Toyota,Prius,2008,Used,Automatic,Hybrid,"1,497 cc","171,004 km"
