Price,Brand,Model,Year,Condition,Transmission,Fuel,Capacity,Mileage
"Rs 12,900,000",Honda,Vezel,2017,Used,Automatic,Hybrid,"1,500 cc","37,000 km"
"Rs 16,250,000",Jaguar,XF,2013,Used,Automatic,Diesel,"2,200 cc","42,000 km"
"Rs 17,000,000",Toyota,CHR,2020,Used,Automatic,Petrol,"1,200 cc","15,000 km"
"Rs 13,000,000",Toyota,CHR,2017,Used,Automatic,Petrol,"1,200 cc","21,000 km"
"Rs 33,500,000",Toyota,Land Cruiser Prado,2015,Used,Automatic,Petrol,"2,700 cc","57,000 km"
"Rs 14,900,000",Toyota,Land Cruiser Prado,2007,Used,Automatic,Petrol,"2,700 cc","120,000 km"
"Rs 19,100,000",Honda,CRV,2018,Used,Automatic,Petrol,"1,500 cc","37,134 km"
"Rs 14,400,000",Mitsubishi,Xpander,2019,Used,Automatic,Petrol,"1,500 cc","50,500 km"
"Rs 4,790,000",Suzuki,Alto,2017,Used,Automatic,Petrol,650 cc,"46,521 km"
"Rs 9,200,000",MG,ZS,2018,Used,Automatic,Petrol,"1,000 cc","60,000 km"
"Rs 7,800,000",Toyota,Vitz,2017,Used,Automatic,Petrol,"1,000 cc","29,000 km"
"Rs 19,990,000",Mitsubishi,Montero,2013,Used,Automatic,Diesel,"3,200 cc","110,000 km"
"Rs 4,885,000",Suzuki,Wagon R FX,2016,Used,Automatic,Petrol,650 cc,"68,000 km"
"Rs 12,400,000",Toyota,CHR,2017,Used,Automatic,Petrol,"1,200 cc","37,000 km"
"Rs 1,550,000",Suzuki,Maruti,2008,Used,Manual,Petrol,800 cc,"113,000 km"
"Rs 1,750,000",Peugeot,405,1995,Used,Manual,Diesel,"1,905 cc","150,000 km"
"Rs 13,750,000",Toyota,CHR,2018,Used,Automatic,Petrol,"1,200 cc","26,000 km"
"Rs 8,250,000",Toyota,Allion,2007,Used,Automatic,Petrol,"1,800 cc","115,000 km"
"Rs 15,490,000",BMW,523i,2012,Used,Automatic,Petrol,"2,000 cc","49,000 km"
"Rs 22,000,000",Mercedes Benz,C350,2016,Used,Automatic,Hybrid,"2,000 cc","146,000 km"
"Rs 15,800,000",Mazda,6,2016,Used,Automatic,Petrol,"2,000 cc","79,000 km"
"Rs 20,800,000",Toyota,Harrier,2015,Used,Automatic,Hybrid,"2,500 cc","92,000 km"
"Rs 5,700,000",Suzuki,Wagon R FZ,2018,Used,Automatic,Hybrid,660 cc,"20,300 km"
"Rs 5,400,000",Suzuki,Wagon R Stingray,2014,Used,Automatic,Petrol,650 cc,"43,400 km"
"Rs 12,800,000",Honda,Vezel,2018,Used,Automatic,Petrol,"1,500 cc","34,000 km"
"Rs 8,050,000",Toyota,Aqua,2016,Used,Automatic,Petrol,"1,500 cc","49,750 km"
"Rs 5,025,000",Honda,Fit,2012,Used,Automatic,Hybrid,"1,300 cc","108,000 km"
"Rs 24,500,000",Mercedes Benz,E300,2015,Used,Tiptronic,Diesel,"2,143 cc","53,000 km"
"Rs 6,095,000",Toyota,Prius,2010,Used,Automatic,Petrol,"1,800 cc","79,000 km"
"Rs 6,650,000",Toyota,Aqua,2013,Used,Automatic,Petrol,"1,500 cc","89,000 km"
"Rs 50,500,000",Land Rover,Discovery,2018,Used,Tiptronic,Diesel,"2,000 cc","17,000 km"
"Rs 4,550,000",Suzuki,Wagon R FZ,2014,Used,Automatic,Petrol,650 cc,"41,000 km"
"Rs 700,000",Mitsubishi,Lancer,1985,Used,Manual,Petrol,"1,400 cc","100,000 km"
"Rs 19,300,000",Land Rover,Defender,2008,Used,Manual,Diesel,"2,400 cc","117,000 km"
"Rs 14,500,000",Toyota,Axio,2019,Used,Automatic,Hybrid,"1,500 cc","17,000 km"
"Rs 8,400,000",BMW,520i,2003,Used,Automatic,Petrol,"2,200 cc","160,000 km"
"Rs 6,200,000",Suzuki,Wagon R,2018,Used,Automatic,Petrol,650 cc,"95,000 km"
"Rs 6,600,000",Honda,Fit,2014,Used,Automatic,Petrol,"1,500 cc","77,000 km"
"Rs 2,800,000",Suzuki,Alto,2015,Used,Manual,Petrol,800 cc,"84,000 km"
"Rs 4,790,000",Suzuki,Wagon R,2014,Used,Automatic,CNG,660 cc,"68,000 km"
"Rs 8,850,000",Suzuki,Swift,2019,Used,Automatic,Petrol,"1,500 cc","110,000 km"
"Rs 5,950,000",Toyota,Aqua,2013,Used,Automatic,Petrol,"1,490 cc","109,000 km"
"Rs 9,650,000",Toyota,Land Cruiser Prado,2008,Used,Automatic,Petrol,"2,700 cc","190,000 km"
"Rs 2,985,000",Suzuki,Alto,2015,Used,Manual,Petrol,800 cc,"61,235 km"
"Rs 9,300,000",Honda,Vezel,2015,Used,Automatic,Hybrid,"1,500 cc","80,500 km"
"Rs 4,850,000",Hyundai,Elantra,2008,Used,Automatic,Petrol,"1,580 cc","125,485 km"
"Rs 5,250,000",Toyota,Avanza,2012,Used,Manual,Petrol,"1,500 cc","145,000 km"
"Rs 2,375,000",Micro,Panda,2014,Used,Manual,Petrol,"1,000 cc","18,000 km"
"Rs 3,490,000",Toyota,Passo,2005,Used,Automatic,Petrol,"1,000 cc","107,000 km"
"Rs 6,200,000",Toyota,Yaris,2008,Used,Automatic,Petrol,"1,300 cc","120,000 km"
"Rs 8,950,000",Toyota,Axio,2014,Used,Automatic,Hybrid,"1,500 cc","72,000 km"
"Rs 8,750,000",Toyota,Premio,2010,Used,Automatic,Petrol,"1,490 cc","66,000 km"
"Rs 4,900,000",Suzuki,Hustler,2015,Used,Automatic,Hybrid,650 cc,"50,500 km"
"Rs 17,800,000",Audi,A3,2019,Used,Tiptronic,Petrol,"1,000 cc","22,000 km"
"Rs 14,000,000",Honda,Vezel,2019,Used,Tiptronic,Petrol,"1,500 cc","9,400 km"
"Rs 12,300,000",Toyota,Raize,2020,Used,Automatic,Petrol,"1,000 cc","11,500 km"
"Rs 5,250,000",Toyota,Prius,2008,Used,Automatic,Hybrid,"1,500 cc","156,000 km"
"Rs 62,500,000",Mercedes Benz,GLE 300D,2019,Used,Automatic,Diesel,"2,000 cc","5,000 km"
"Rs 2,685,000",Daihatsu,Mira,1999,Used,Automatic,Petrol,650 cc,"130,452 km"
"Rs 4,975,000",Suzuki,Wagon R FX,2017,Used,Automatic,Hybrid,650 cc,"67,000 km"
"Rs 10,775,000",Toyota,Axio,2016,Reconditioned,Automatic,Hybrid,"1,500 cc","68,000 km"
"Rs 3,975,000",Nissan,Sunny,2003,Reconditioned,Manual,Petrol,"1,600 cc","158,000 km"
"Rs 2,895,000",Suzuki,Alto,2015,Used,Manual,Petrol,800 cc,"43,500 km"
"Rs 14,450,000",Toyota,Land Cruiser Prado,2008,Used,Automatic,Petrol,"2,700 cc","118,000 km"
"Rs 2,650,000",Micro,Panda,2017,Used,Manual,Petrol,"1,000 cc","49,300 km"
"Rs 61,500,000",BMW,740Le,2018,Used,Automatic,Petrol,"2,000 cc","12,000 km"
"Rs 26,000,000",Lexus,NX300H,2015,Used,Tiptronic,Petrol,"2,500 cc","101,000 km"
"Rs 35,000,000",BMW,X5,2016,Used,Automatic,Petrol,"2,000 cc","42,000 km"
"Rs 6,500,000",Suzuki,Wagon R FZ,2019,Used,Automatic,Petrol,600 cc,"12,000 km"
"Rs 52,500,000",Mercedes Benz,S300,2015,Used,Automatic,Diesel,"2,200 cc","36,000 km"
